# NACA0012 V9 SST AoA = 14.5 deg
# x/c          y/c          Cp
0.9732440000  0.0038226000  0.0178704889
0.9759200000  0.0034462100  0.0188425778
0.9785950000  0.0030685400  0.0199114667
0.9812710000  0.0026895800  0.0208016889
0.9839460000  0.0023093100  0.0219562667
0.9866220000  0.0019277400  0.0226805333
0.9892980000  0.0015448500  0.0240907556
0.9919730000  0.0011606400  0.0244490667
0.9946490000  0.0007750980  0.0263854222
0.9973240000  0.0003882210  0.0249660444
1.0000000000  0.0000000000  0.0057942489
0.2026760000  -0.0575250000  0.5418915556
0.2053510000  -0.0576714000  0.5367235556
0.2080270000  -0.0578126000  0.5316488889
0.2107020000  -0.0579488000  0.5266435556
0.2133780000  -0.0580799000  0.5217084444
0.2160540000  -0.0582061000  0.5168568889
0.2187290000  -0.0583274000  0.5120613333
0.2214050000  -0.0584439000  0.5073395556
0.2240800000  -0.0585557000  0.5026800000
0.2267560000  -0.0586629000  0.4980773333
0.2294310000  -0.0587654000  0.4935395556
0.2321070000  -0.0588635000  0.4890533333
0.2347830000  -0.0589571000  0.4846311111
0.2374580000  -0.0590463000  0.4802577778
0.2401340000  -0.0591311000  0.4759493333
0.2428090000  -0.0592117000  0.4717066667
0.2454850000  -0.0592881000  0.4675315556
0.2481610000  -0.0593603000  0.4634595556
0.2508360000  -0.0594283000  0.4595031111
0.2535120000  -0.0594924000  0.4556800000
0.2561870000  -0.0595524000  0.4519955556
0.2588630000  -0.0596085000  0.4484577778
0.2615380000  -0.0596606000  0.4450515556
0.2642140000  -0.0597089000  0.4417324444
0.2668900000  -0.0597534000  0.4384311111
0.2695650000  -0.0597942000  0.4350728889
0.2722410000  -0.0598312000  0.4316542222
0.2749160000  -0.0598646000  0.4281866667
0.2775920000  -0.0598944000  0.4246960000
0.2802680000  -0.0599205000  0.4212160000
0.2829430000  -0.0599432000  0.4177617778
0.2856190000  -0.0599623000  0.4143484444
0.2882940000  -0.0599780000  0.4109822222
0.2909700000  -0.0599903000  0.4076542222
0.2936450000  -0.0599992000  0.4043680000
0.2963210000  -0.0600048000  0.4011253333
0.2989970000  -0.0600070000  0.3979271111
0.3016720000  -0.0600061000  0.3947715556
0.3043480000  -0.0600019000  0.3916497778
0.3070230000  -0.0599945000  0.3885742222
0.3096990000  -0.0599840000  0.3855457778
0.3123750000  -0.0599703000  0.3825502222
0.3150500000  -0.0599536000  0.3795920000
0.3177260000  -0.0599338000  0.3766586667
0.3204010000  -0.0599111000  0.3737564444
0.3230770000  -0.0598853000  0.3708977778
0.3257530000  -0.0598566000  0.3680693333
0.3284280000  -0.0598250000  0.3652791111
